final_loss,stem_length,stem_width,branch_length,branch_width,learning_rate
7.821389,1,2,3,2,0.001
9.128908,1,2,3,3,0.001
9.816865,1,2,3,4,0.001
6.812029,1,2,3,5,0.001
11.059569,1,2,4,1,0.001
11.135437,1,2,4,2,0.001
9.274887,1,2,4,3,0.001
9.311723,1,2,4,4,0.001
9.234946,1,2,4,5,0.001
10.396005,1,2,5,1,0.001
9.369745,1,2,5,2,0.001
9.512019,1,2,5,3,0.001
6.498116,1,2,5,4,0.001
6.4265213,1,2,5,5,0.001
10.967424,1,3,1,1,0.001
10.514099,1,3,1,2,0.001
9.609211,1,3,1,3,0.001
8.794365,1,3,1,4,0.001
9.900177,1,3,1,5,0.001
8.998983,1,3,2,1,0.001
10.185407,1,3,2,2,0.001
8.536372,1,3,2,3,0.001
9.096155,1,3,2,4,0.001
7.0231314,1,3,2,5,0.001
8.717905,1,3,3,1,0.001
10.30648,1,3,3,2,0.001
6.3957596,1,3,3,3,0.001
9.126355,1,3,3,4,0.001
5.656379,1,3,3,5,0.001
13.507913,1,3,4,1,0.001
10.08772,1,3,4,2,0.001
9.161941,1,3,4,3,0.001
7.7860594,1,3,4,4,0.001
8.151998,1,3,4,5,0.001
9.29752,1,3,5,1,0.001
9.424086,1,3,5,2,0.001
9.339193,1,3,5,3,0.001
8.47822,1,3,5,4,0.001
9.1831875,1,3,5,5,0.001
9.826102,1,4,1,1,0.001
9.30146,1,4,1,2,0.001
7.056236,1,4,1,3,0.001
10.089545,1,4,1,4,0.001
10.197491,1,4,1,5,0.001
8.340544,1,4,2,1,0.001
10.923028,1,4,2,2,0.001
10.081921,1,4,2,3,0.001
9.28232,1,4,2,4,0.001
9.703189,1,4,2,5,0.001
10.805659,1,4,3,1,0.001
9.34691,1,4,3,2,0.001
8.362984,1,4,3,3,0.001
8.194366,1,4,3,4,0.001
9.04622,1,4,3,5,0.001
10.366248,1,4,4,1,0.001
5.839311,1,4,4,2,0.001
9.852867,1,4,4,3,0.001
9.029487,1,4,4,4,0.001
7.024871,1,4,4,5,0.001
10.108128,1,4,5,1,0.001
10.2331,1,4,5,2,0.001
9.144949,1,4,5,3,0.001
7.3595486,1,4,5,4,0.001
9.039629,1,4,5,5,0.001
9.777905,1,5,1,1,0.001
8.43629,1,5,1,2,0.001
27.514511,1,5,1,3,0.001
9.301943,1,5,1,4,0.001
7.614917,1,5,1,5,0.001
10.129351,1,5,2,1,0.001
8.449532,1,5,2,2,0.001
9.708907,1,5,2,3,0.001
10.068309,1,5,2,4,0.001
8.80507,1,5,2,5,0.001
9.524303,1,5,3,1,0.001
8.652718,1,5,3,2,0.001
9.588823,1,5,3,3,0.001
9.231408,1,5,3,4,0.001
9.323102,1,5,3,5,0.001
9.582993,1,5,4,1,0.001
9.643873,1,5,4,2,0.001
6.723905,1,5,4,3,0.001
8.342761,1,5,4,4,0.001
6.816228,1,5,4,5,0.001
9.991935,1,5,5,1,0.001
10.439915,1,5,5,2,0.001
9.224958,1,5,5,3,0.001
10.277411,1,5,5,4,0.001
9.364388,1,5,5,5,0.001
11.511511,2,1,1,1,0.001
10.951188,2,1,1,2,0.001
9.501736,2,1,1,3,0.001
9.316623,2,1,1,4,0.001
9.645073,2,1,1,5,0.001
9.430395,2,1,2,1,0.001
10.463421,2,1,2,2,0.001
9.437122,2,1,2,3,0.001
8.874792,2,1,2,4,0.001
9.809305,2,1,2,5,0.001
10.38341,2,1,3,1,0.001
9.770266,2,1,3,2,0.001
9.679913,2,1,3,3,0.001
8.601684,2,1,3,4,0.001
9.282009,2,1,3,5,0.001
10.078479,2,1,4,1,0.001
10.270146,2,1,4,2,0.001
9.506117,2,1,4,3,0.001
8.825909,2,1,4,4,0.001
9.214546,2,1,4,5,0.001
9.542561,2,1,5,1,0.001
9.496219,2,1,5,2,0.001
9.255892,2,1,5,3,0.001
8.4288225,2,1,5,4,0.001
9.375138,2,1,5,5,0.001
10.444654,2,2,1,1,0.001
10.35384,2,2,1,2,0.001
6.246395,2,2,1,3,0.001
9.238851,2,2,1,4,0.001
9.220868,2,2,1,5,0.001
10.07027,2,2,2,1,0.001
9.548948,2,2,2,2,0.001
8.667564,2,2,2,3,0.001
9.218271,2,2,2,4,0.001
9.634562,2,2,2,5,0.001
9.7133255,2,2,3,1,0.001
10.850889,2,2,3,2,0.001
9.229159,2,2,3,3,0.001
7.518784,2,2,3,4,0.001
9.407778,2,2,3,5,0.001
9.584958,2,2,4,1,0.001
10.074324,2,2,4,2,0.001
8.923839,2,2,4,3,0.001
8.393461,2,2,4,4,0.001
8.487518,2,2,4,5,0.001
7.901339,2,2,5,1,0.001
10.07722,2,2,5,2,0.001
9.873623,2,2,5,3,0.001
8.911853,2,2,5,4,0.001
5.3383975,2,2,5,5,0.001
9.546907,2,3,1,1,0.001
11.203265,2,3,1,2,0.001
8.615759,2,3,1,3,0.001
8.911643,2,3,1,4,0.001
7.3419337,2,3,1,5,0.001
10.45676,2,3,2,1,0.001
9.600754,2,3,2,2,0.001
9.935284,2,3,2,3,0.001
9.561939,2,3,2,4,0.001
9.416913,2,3,2,5,0.001
10.780919,2,3,3,1,0.001
9.742459,2,3,3,2,0.001
8.917167,2,3,3,3,0.001
8.794591,2,3,3,4,0.001
